score;attractive;ID;img_paths;asian;White;Train;Validation
0.732;73;AF961;AF961.jpg;1;0;1;
0.624;62;AF962;AF962.jpg;1;0;0;
0.84;84;AF963;AF963.jpg;1;0;1;
0.691;69;AF964;AF964.jpg;1;0;1;
0.521;52;AF965;AF965.jpg;1;0;0;
0.423;42;AF966;AF966.jpg;1;0;1;
0.598;60;AF967;AF967.jpg;1;0;1;
0.247;25;AF968;AF968.jpg;1;0;1;
0.546;55;AF969;AF969.jpg;1;0;0;
0.361;36;AF97;AF97.jpg;1;0;1;
0.314;31;AF970;AF970.jpg;1;0;0;
0.66;66;AF971;AF971.jpg;1;0;0;
0.711;71;AF972;AF972.jpg;1;0;1;
0.495;50;AF973;AF973.jpg;1;0;1;
0.443;44;AF974;AF974.jpg;1;0;0;
0.356;36;AF975;AF975.jpg;1;0;1;
0.753;75;AF976;AF976.jpg;1;0;1;
0.562;56;AF977;AF977.jpg;1;0;1;
0.181;18;AF978;AF978.jpg;1;0;1;
0.268;27;AF979;AF979.jpg;1;0;1;
0.278;28;AF98;AF98.jpg;1;0;0;
0.701;70;AF980;AF980.jpg;1;0;1;
0.448;45;AF981;AF981.jpg;1;0;1;
0.295;30;AF982;AF982.jpg;1;0;1;
0.665;67;AF983;AF983.jpg;1;0;1;
0.624;62;AF984;AF984.jpg;1;0;1;
0.088;9;AF985;AF985.jpg;1;0;1;
0.253;25;AF986;AF986.jpg;1;0;1;
0.634;63;AF987;AF987.jpg;1;0;0;
0.237;24;AF988;AF988.jpg;1;0;1;
0.273;27;AF989;AF989.jpg;1;0;1;
0.392;39;AF99;AF99.jpg;1;0;0;
0.242;24;AF990;AF990.jpg;1;0;1;
0.227;23;AF991;AF991.jpg;1;0;1;
0.325;33;AF992;AF992.jpg;1;0;1;
0.247;25;AF993;AF993.jpg;1;0;1;
0.732;73;AF994;AF994.jpg;1;0;1;
0.407;41;AF995;AF995.jpg;1;0;1;
0.67;67;AF996;AF996.jpg;1;0;1;
0.768;77;AF997;AF997.jpg;1;0;1;
0.392;39;AF9979;AF9979.jpg;1;0;1;
0.629;63;AF998;AF998.jpg;1;0;1;
0.495;50;AF9981;AF9981.jpg;1;0;1;
0.397;40;AF9982;AF9982.jpg;1;0;1;
0.392;39;AF9987;AF9987.jpg;1;0;1;
0.443;44;AF9988;AF9988.jpg;0;1;1;
0.526;53;AF999;AF999.jpg;1;0;1;
0.16;16;AF9996;AF9996.jpg;1;0;1;
0.195;14;Abraham;0.195_Lynn_Abraham_0002_AGE_60_GLASSES_false_ETHNICITY_White.jpg;0;1;0;
0.248;20;Abraham;0.248_Lynn_Abraham_0001_AGE_59_GLASSES_false_ETHNICITY_White.jpg;0;1;0;
0.458;44;Adams;0.458_Brooke_Adams_0001_AGE_43_GLASSES_false_ETHNICITY_White.jpg;0;1;0;
0.273;27;AF1;AF1.jpg;1;0;1;
0.603;60;AF10;AF10.jpg;1;0;1;
0.423;42;AF100;AF100.jpg;1;0;1;
0.639;64;AF1000;AF1000.jpg;1;0;0;
0.67;67;AF1001;AF1001.jpg;1;0;1;
0.376;38;AF1002;AF1002.jpg;1;0;1;
0.387;39;AF1003;AF1003.jpg;1;0;1;
0.613;61;AF1004;AF1004.jpg;1;0;1;
0.201;20;AF1005;AF1005.jpg;1;0;1;
0.485;49;AF1006;AF1006.jpg;1;0;1;
0.32;32;AF1007;AF1007.jpg;1;0;1;
0.376;38;AF1008;AF1008.jpg;1;0;1;
0.639;64;AF1009;AF1009.jpg;1;0;1;
0.273;27;AF101;AF101.jpg;1;0;1;
0.34;34;AF1010;AF1010.jpg;1;0;1;
0.479;48;AF1011;AF1011.jpg;1;0;1;
0.402;40;AF1012;AF1012.jpg;1;0;1;
0.716;72;AF1013;AF1013.jpg;1;0;1;
0.629;63;AF1014;AF1014.jpg;1;0;1;
0.464;46;AF1015;AF1015.jpg;1;0;0;
0.778;78;AF1016;AF1016.jpg;1;0;1;
0.66;66;AF1017;AF1017.jpg;1;0;1;
0.402;40;AF1018;AF1018.jpg;1;0;1;
0.222;22;AF1019;AF1019.jpg;1;0;0;
0.351;35;AF102;AF102.jpg;1;0;1;
0.423;42;AF1020;AF1020.jpg;1;0;0;
0.314;31;AF1021;AF1021.jpg;1;0;0;
0.634;63;AF1022;AF1022.jpg;1;0;1;
0.634;63;AF1023;AF1023.jpg;1;0;1;
0.639;64;AF1024;AF1024.jpg;1;0;1;
0.119;12;AF1025;AF1025.jpg;1;0;1;
0.567;57;AF1026;AF1026.jpg;1;0;1;
0.711;71;AF1027;AF1027.jpg;1;0;1;
0.18;18;AF1028;AF1028.jpg;1;0;1;
0.648;65;AF1029;AF1029.jpg;1;0;0;
0.32;32;AF103;AF103.jpg;1;0;1;
0.309;31;AF1030;AF1030.jpg;1;0;1;
0.711;71;AF1031;AF1031.jpg;1;0;1;
0.593;59;AF1032;AF1032.jpg;1;0;1;
0.284;28;AF1033;AF1033.jpg;1;0;1;
0.521;52;AF1034;AF1034.jpg;1;0;1;
0.675;68;AF1035;AF1035.jpg;1;0;1;
0.387;39;AF1036;AF1036.jpg;1;0;1;
0.258;26;AF1037;AF1037.jpg;1;0;0;
0.289;29;AF1038;AF1038.jpg;1;0;1;
0.706;71;AF1039;AF1039.jpg;1;0;1;
0.381;38;AF104;AF104.jpg;1;0;0;
0.191;19;AF1040;AF1040.jpg;1;0;1;
0.325;33;AF1041;AF1041.jpg;1;0;1;
0.448;45;AF1042;AF1042.jpg;1;0;1;
0.304;30;AF1043;AF1043.jpg;1;0;1;
0.289;29;AF1044;AF1044.jpg;1;0;1;
0.686;69;AF1045;AF1045.jpg;1;0;1;
0.275;28;AF1046;AF1046.jpg;1;0;1;
0.531;53;AF1047;AF1047.jpg;1;0;1;
0.577;58;AF1048;AF1048.jpg;1;0;0;
0.418;42;AF1049;AF1049.jpg;1;0;1;
0.732;73;AF105;AF105.jpg;1;0;1;
0.528;53;AF1050;AF1050.jpg;1;0;0;
0.438;44;AF1051;AF1051.jpg;1;0;1;
0.526;53;AF1052;AF1052.jpg;1;0;1;
0.381;38;AF1053;AF1053.jpg;1;0;1;
0.649;65;AF1054;AF1054.jpg;1;0;1;
0.613;61;AF1055;AF1055.jpg;1;0;1;
0.768;77;AF1056;AF1056.jpg;1;0;1;
0.606;61;AF1057;AF1057.jpg;1;0;1;
0.68;68;AF1058;AF1058.jpg;1;0;1;
0.572;57;AF1059;AF1059.jpg;1;0;1;
0.361;36;AF106;AF106.jpg;1;0;1;
0.294;29;AF1060;AF1060.jpg;1;0;0;
0.438;44;AF1061;AF1061.jpg;1;0;1;
0.784;78;AF1062;AF1062.jpg;1;0;1;
0.784;78;AF1063;AF1063.jpg;1;0;1;
0.5;50;AF1064;AF1064.jpg;1;0;1;
0.557;56;AF1065;AF1065.jpg;1;0;1;
0.176;18;AF1066;AF1066.jpg;1;0;1;
0.325;33;AF1067;AF1067.jpg;1;0;1;
0.686;69;AF1068;AF1068.jpg;1;0;1;
0.655;66;AF1069;AF1069.jpg;1;0;1;
0.32;32;AF107;AF107.jpg;1;0;1;
0.407;41;AF1070;AF1070.jpg;1;0;1;
0.655;66;AF1071;AF1071.jpg;1;0;0;
0.613;61;AF1072;AF1072.jpg;1;0;1;
0.397;40;AF1073;AF1073.jpg;1;0;0;
0.593;59;AF1074;AF1074.jpg;1;0;1;
0.479;48;AF1075;AF1075.jpg;1;0;1;
0.103;10;AF1076;AF1076.jpg;1;0;0;
0.469;47;AF1077;AF1077.jpg;1;0;1;
0.706;71;AF1078;AF1078.jpg;1;0;1;
0.412;41;AF1079;AF1079.jpg;1;0;1;
0.469;47;AF108;AF108.jpg;1;0;1;
0.722;72;AF1080;AF1080.jpg;1;0;1;
0.492;49;AF1081;AF1081.jpg;1;0;1;
0.464;46;AF1082;AF1082.jpg;1;0;1;
0.825;83;AF1083;AF1083.jpg;1;0;1;
0.186;19;AF1084;AF1084.jpg;1;0;1;
0.29;29;AF1085;AF1085.jpg;1;0;1;
0.557;56;AF1086;AF1086.jpg;1;0;1;
0.314;31;AF1087;AF1087.jpg;1;0;1;
0.562;56;AF1088;AF1088.jpg;1;0;0;
0.237;24;AF1089;AF1089.jpg;1;0;0;
0.309;31;AF109;AF109.jpg;1;0;1;
0.706;71;AF1090;AF1090.jpg;1;0;1;
0.433;43;AF1091;AF1091.jpg;1;0;1;
0.247;25;AF1092;AF1092.jpg;1;0;1;
0.644;64;AF1093;AF1093.jpg;1;0;1;
0.722;72;AF1094;AF1094.jpg;1;0;1;
0.541;54;AF1095;AF1095.jpg;1;0;1;
0.345;35;AF1096;AF1096.jpg;1;0;1;
0.275;28;AF1097;AF1097.jpg;1;0;1;
0.18;18;AF1098;AF1098.jpg;1;0;0;
0.701;70;AF1099;AF1099.jpg;1;0;0;
0.232;23;AF11;AF11.jpg;1;0;1;
0.474;47;AF110;AF110.jpg;1;0;1;
0.325;33;AF1100;AF1100.jpg;1;0;1;
0.701;70;AF1101;AF1101.jpg;1;0;1;
0.706;71;AF1102;AF1102.jpg;1;0;1;
0.485;49;AF1103;AF1103.jpg;1;0;1;
0.778;78;AF1104;AF1104.jpg;1;0;0;
0.258;26;AF1105;AF1105.jpg;1;0;1;
0.758;76;AF1106;AF1106.jpg;1;0;1;
0.526;53;AF1107;AF1107.jpg;1;0;1;
0.191;19;AF1108;AF1108.jpg;1;0;1;
0.577;58;AF1109;AF1109.jpg;1;0;1;
0.381;38;AF111;AF111.jpg;1;0;1;
0.716;72;AF1110;AF1110.jpg;1;0;1;
0.232;23;AF1111;AF1111.jpg;1;0;1;
0.619;62;AF1112;AF1112.jpg;1;0;1;
0.619;62;AF1113;AF1113.jpg;1;0;1;
0.448;45;AF1114;AF1114.jpg;1;0;1;
0.619;62;AF1115;AF1115.jpg;1;0;1;
0.668;67;AF1116;AF1116.jpg;1;0;1;
0.222;22;AF1117;AF1117.jpg;1;0;1;
0.247;25;AF1118;AF1118.jpg;1;0;0;
0.387;39;AF1119;AF1119.jpg;1;0;1;
0.366;37;AF112;AF112.jpg;1;0;1;
0.337;34;AF1120;AF1120.jpg;1;0;0;
0.17;17;AF1121;AF1121.jpg;1;0;0;
0.701;70;AF1122;AF1122.jpg;1;0;1;
0.33;33;AF1123;AF1123.jpg;1;0;1;
0.696;70;AF1124;AF1124.jpg;1;0;0;
0.469;47;AF1125;AF1125.jpg;1;0;1;
0.624;62;AF1126;AF1126.jpg;1;0;1;
0.49;49;AF1127;AF1127.jpg;1;0;1;
0.268;27;AF1128;AF1128.jpg;1;0;1;
0.722;72;AF1129;AF1129.jpg;1;0;1;
0.613;61;AF113;AF113.jpg;1;0;1;
0.5;50;AF1130;AF1130.jpg;1;0;1;
0.51;51;AF1131;AF1131.jpg;1;0;1;
0.716;72;AF1132;AF1132.jpg;1;0;1;
0.521;52;AF1133;AF1133.jpg;1;0;0;
0.557;56;AF1134;AF1134.jpg;1;0;1;
0.742;74;AF1135;AF1135.jpg;1;0;1;
0.572;57;AF1136;AF1136.jpg;1;0;1;
0.32;32;AF1137;AF1137.jpg;1;0;1;
0.275;28;AF1138;AF1138.jpg;1;0;1;
0.459;46;AF1139;AF1139.jpg;1;0;1;
0.335;34;AF114;AF114.jpg;1;0;1;
0.66;66;AF1140;AF1140.jpg;1;0;0;
0.567;57;AF1141;AF1141.jpg;1;0;0;
0.469;47;AF1142;AF1142.jpg;1;0;1;
0.129;13;AF1143;AF1143.jpg;1;0;1;
0.415;42;AF1144;AF1144.jpg;1;0;1;
0.232;23;AF1145;AF1145.jpg;1;0;0;
0.51;51;AF1146;AF1146.jpg;1;0;0;
0.619;62;AF1147;AF1147.jpg;1;0;1;
0.629;63;AF1148;AF1148.jpg;1;0;1;
0.608;61;AF1149;AF1149.jpg;1;0;1;
0.387;39;AF115;AF115.jpg;1;0;1;
0.412;41;AF1150;AF1150.jpg;1;0;1;
0.196;20;AF1151;AF1151.jpg;1;0;1;
0.546;55;AF1152;AF1152.jpg;1;0;0;
0.536;54;AF1153;AF1153.jpg;1;0;1;
0.655;66;AF1154;AF1154.jpg;1;0;0;
0.474;47;AF1155;AF1155.jpg;1;0;1;
0.701;70;AF1156;AF1156.jpg;1;0;1;
0.423;42;AF1157;AF1157.jpg;1;0;0;
0.803;80;AF1158;AF1158.jpg;1;0;1;
0.624;62;AF1159;AF1159.jpg;1;0;0;
0.165;17;AF116;AF116.jpg;1;0;0;
0.648;65;AF1160;AF1160.jpg;1;0;1;
0.361;36;AF1161;AF1161.jpg;1;0;0;
0.588;59;AF1162;AF1162.jpg;1;0;0;
0.66;66;AF1163;AF1163.jpg;1;0;1;
0.304;30;AF1164;AF1164.jpg;1;0;0;
0.505;51;AF1165;AF1165.jpg;1;0;1;
0.66;66;AF1166;AF1166.jpg;1;0;1;
0.665;67;AF1167;AF1167.jpg;1;0;1;
0.716;72;AF1168;AF1168.jpg;1;0;1;
0.66;66;AF1169;AF1169.jpg;1;0;1;
0.33;33;AF117;AF117.jpg;1;0;1;
0.701;70;AF1170;AF1170.jpg;1;0;1;
0.732;73;AF1171;AF1171.jpg;1;0;1;
0.722;72;AF1172;AF1172.jpg;1;0;1;
0.32;32;AF1173;AF1173.jpg;1;0;1;
0.771;77;AF1174;AF1174.jpg;1;0;0;
0.794;79;AF1175;AF1175.jpg;1;0;1;
0.418;42;AF1176;AF1176.jpg;1;0;1;
0.619;62;AF1177;AF1177.jpg;1;0;1;
0.49;49;AF1178;AF1178.jpg;1;0;1;
0.691;69;AF1179;AF1179.jpg;1;0;0;
0.433;43;AF118;AF118.jpg;1;0;0;
0.655;66;AF1180;AF1180.jpg;1;0;0;
0.451;45;AF1181;AF1181.jpg;1;0;1;
0.42;42;AF1182;AF1182.jpg;1;0;1;
0.557;56;AF1183;AF1183.jpg;1;0;1;
0.284;28;AF1184;AF1184.jpg;1;0;1;
0.366;37;AF1185;AF1185.jpg;1;0;1;
0.175;18;AF1186;AF1186.jpg;1;0;1;
0.627;63;AF1187;AF1187.jpg;1;0;0;
0.299;30;AF1188;AF1188.jpg;1;0;1;
0.459;46;AF1189;AF1189.jpg;1;0;1;
0.268;27;AF119;AF119.jpg;1;0;1;
0.418;42;AF1190;AF1190.jpg;1;0;1;
0.809;81;AF1191;AF1191.jpg;1;0;1;
0.371;37;AF1192;AF1192.jpg;1;0;1;
0.318;32;AF1193;AF1193.jpg;1;0;1;
0.747;75;AF1194;AF1194.jpg;1;0;1;
